recipe_slug	score_bound
falafel	2.039518370754847
spamburger	2.1617845857968945
bacon-fried-rice	2.1132694695809744
chicken-fingers	2.2631230064765036
apple-crisp	2.7672777598566354
cranberry-apple-crisp	2.810716363033312
bacon-chocolate-chip-cookies	2.6522007274200825
sujebi	2.2989314974205604
pasta-primavera	1.9168909529386111
ramen	1.940435744822489
brownies	2.772846942084814
bacon-wrapped-scallops	2.271347141578234
bacon-egg-muffins	2.239611533971231
breakfast-burritos	2.0657145804108925
bolognese-sauce	2.0185535269751584
croissants	2.104230130410554
bacon-souffle	1.8854795106055882
souffle	2.21846187371237
chocolate-souffle	2.5194472773199927
butter-croissants	1.8847961571922809
pickled-green-beans	2.053294914687493
fried-oysters	2.0414587436485983
peanut-butter-brownies	2.6158823962124114
almond-chip-cookies	2.6870905582872693
guacamole	1.8740487560688426
brioche-bread	2.3268005223690227
brioche-bread-with-chocolate	2.718770613423011
asparagus-quiche	2.042223439553073
asparagus-burger	2.1071143991729553
ma-la-chicken	1.8823320995954458
cold-noodles-with-tomatoes	2.144472922863019
tamales	2.119869841048278
enchiladas	1.8330091858752133
tacos	2.0782756279112817
burritos	2.0404201167956026
peanut-butter-cupcakes	2.773772247819515
pickled-asparagus	2.2076320113086743
chocolate-peanut-butter-cake	2.6805107924370324
udon	1.989409923556302
vegetable-lasagna	1.5502871541034366
maple-bacon-donuts	2.547552164279545
maple-bacon-pancakes	2.5759034800656853
spinach-and-ricotta-stuffed-shells	1.7649350677491675
quesadillas	1.8938241033847056
pico-de-gallo	1.8184294781754677
nachos	2.0509578027313413
cold-soba-noodles-with-tomato-and-cucumber	2.226745224837434
fajitas	2.0835948622066227
loaded-nachos	1.836575120469265
lasagna	1.8880142148475594
chicken-nuggets	2.3322556188648713
pain-au-chocolat	2.599132540873099
nacho-dip	1.7687743444212742
nacho-salad	2.050510694270285
nacho-casserole	1.9878885067908858
nacho-fries	1.8720622607331032
tempura-udon	2.2562265585789962
peach-crisp	2.670107235875748
apple-pie	2.8340830396417696
blueberry-crisp	2.5996186704844018
berry-crumble	2.485163112494978
strawberry-rhubarb-crisp	2.858827038281041
peach-cobbler	2.649992520928261
cranberry-sauce	2.4855801122692434
cherry-cobbler	2.6364439569844436
apple-crumble	2.8780476812777254
chocolate-croissants	2.4014318716627505
french-toast	2.416981679416258
chocolate-babka	2.825602109317901
cinnamon-babka	2.564121522915954
blueberry-crumble	2.53449167697755
spam-musubi	2.341358133931832
taco-salad	2.093870703356946
chiles-rellenos	1.8157023593081099
almond-croissants	2.1980520832166133
cranberry-relish	2.3189134456025764
ma-la-beef	1.8563924545859523
chocolate-cake	2.660428766573233
spinach-quiche	1.9679844484001803
mushroom-quiche	1.8781592122738089
quiche-lorraine	2.103112725366954
croissant-aux-amandes	2.330813053019857
danishes	2.554024710795202
spinach-and-feta-quiche	2.221143630389924
cold-sesame-noodles	1.8417679342417652
soba-noodle-salad-with-peanut-dressing	2.0515343933555834
dan-dan-noodles	1.8801941715298132
vanilla-souffle	2.7254581622979437
bacon-wrapped-dates	2.3744390367172374
cherry-pie	2.7154461584355594
berry-crisp	2.6878895187149174
bacon-and-egg-breakfast-sandwich	2.041979635356136
bacon-wrapped-shrimp-skewers	2.099036139001514
bacon-wrapped-chicken	2.1301660201468766
bacon-wrapped-asparagus	2.134787194651419
bacon-mac-and-cheese	2.064621648012508
chicken-alfredo-lasagna	2.0255171166736186
classic-beef-lasagna	1.9477739815350377
vegetarian-mushroom-lasagna	1.6441819790268744
spinach-and-ricotta-lasagna	1.9268046551485618
